animal_id,name,datetime,monthyear,date_of_birth,outcome_type,animal_type,sex_upon_outcome,age_upon_outcome,breed,color,outcome_subtype
A787658,*Fergus,2019-03-11 00:00:00,2019-03-11T00:00:00.000,2017-01-17T00:00:00.000,Transfer,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Black,Partner
A674631,*Claude,2014-04-19 17:33:00,2014-04-19T17:33:00.000,2011-03-16T00:00:00.000,Adoption,Dog,Neutered Male,3 years,American Bulldog Mix,White/Tan,
A800445,Mini,2019-07-22 18:47:00,2019-07-22T18:47:00.000,2013-06-05T00:00:00.000,Return to Owner,Dog,Spayed Female,6 years,Chihuahua Shorthair Mix,Tan/White,
A684828,,2014-07-30 09:00:00,2014-07-30T09:00:00.000,2014-03-14T00:00:00.000,Transfer,Cat,Intact Male,4 months,Domestic Shorthair Mix,Cream Tabby/White,SCRP
A749133,*Cowboy,2020-08-01 08:12:00,2020-08-01T08:12:00.000,2017-04-05T00:00:00.000,Adoption,Cat,Spayed Female,3 years,Domestic Shorthair Mix,White/Black,Foster
A686043,,2014-08-16 08:41:00,2014-08-16T08:41:00.000,2013-08-15T00:00:00.000,Disposal,Other,Unknown,1 year,Bat Mix,Brown,
A692765,,2014-12-02 17:31:00,2014-12-02T17:31:00.000,2014-09-25T00:00:00.000,Euthanasia,Cat,Intact Male,2 months,Domestic Shorthair Mix,Brown Tabby/White,Suffering
A774672,,2018-07-15 16:43:00,2018-07-15T16:43:00.000,2018-04-25T00:00:00.000,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Black,
A695408,,2015-01-18 08:42:00,2015-01-18T08:42:00.000,2014-11-08T00:00:00.000,Adoption,Dog,Spayed Female,2 months,Rottweiler/German Shepherd,Sable,Offsite
A667667,,2013-11-26 13:43:00,2013-11-26T13:43:00.000,2013-08-06T00:00:00.000,Transfer,Dog,Intact Male,3 months,Dachshund Mix,Tan,Partner
A681907,Tortilla,2014-06-28 18:52:00,2014-06-28T18:52:00.000,2014-04-21T00:00:00.000,Adoption,Cat,Intact Female,2 months,Siamese Mix,Tortie Point,
A678341,Bear,2014-05-26 15:53:00,2014-05-26T15:53:00.000,2012-05-07T00:00:00.000,Return to Owner,Dog,Neutered Male,2 years,Golden Retriever/Chow Chow,Tan,
A795431,*Maggie,2019-05-29 14:25:00,2019-05-29T14:25:00.000,2011-05-20T00:00:00.000,Transfer,Dog,Intact Female,8 years,Wire Hair Fox Terrier Mix,Tricolor,Partner
A795465,,2019-06-01 22:03:00,2019-06-01T22:03:00.000,2019-03-20T00:00:00.000,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair,Black,
A696806,*Davis,2015-02-17 19:02:00,2015-02-17T19:02:00.000,2014-06-12T00:00:00.000,Adoption,Dog,Neutered Male,8 months,Dachshund Mix,Brown/White,
A882807,A882807,2023-06-12 15:00:00,2023-06-12T15:00:00.000,2022-06-09T00:00:00.000,Transfer,Cat,Intact Female,1 year,Domestic Shorthair Mix,Torbie,Partner
A808052,*Oreo,2019-12-03 16:46:00,2019-12-03T16:46:00.000,2019-08-19T00:00:00.000,Adoption,Cat,Spayed Female,3 months,Domestic Shorthair,Black/White,
A839074,,2021-07-23 09:29:00,2021-07-23T09:29:00.000,2021-03-19T00:00:00.000,Died,Cat,Intact Male,4 months,Domestic Shorthair,Black/White,In Kennel
A795140,Roo,2019-05-23 17:39:00,2019-05-23T17:39:00.000,2017-05-16T00:00:00.000,Adoption,Dog,Neutered Male,2 years,Australian Cattle Dog Mix,Blue Tick,
A836159,*Morgan,2021-06-30 14:41:00,2021-06-30T14:41:00.000,2019-12-07T00:00:00.000,Adoption,Dog,Spayed Female,1 year,Australian Cattle Dog,Blue Tick,Foster
A823494,*Macaroni,2020-11-03 09:13:00,2020-11-03T09:13:00.000,2020-08-17T00:00:00.000,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair,Brown Tabby/White,Foster
A750772,,2017-05-31 18:19:00,2017-05-31T18:19:00.000,2017-04-16T00:00:00.000,Transfer,Dog,Intact Female,1 month,Labrador Retriever Mix,Black,Partner
A765588,*Clarke,2018-01-24 10:12:00,2018-01-24T10:12:00.000,2017-12-15T00:00:00.000,Transfer,Dog,Intact Female,1 month,Chihuahua Shorthair Mix,Brown,Partner
A760496,*Marco Polo,2017-12-30 15:44:00,2017-12-30T15:44:00.000,2017-08-19T00:00:00.000,Adoption,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Brown Tabby/White,
A787340,,2019-01-11 14:53:00,2019-01-11T14:53:00.000,2018-01-11T00:00:00.000,Euthanasia,Other,Unknown,1 year,Bat Mix,Brown,Rabies Risk
A822928,*Primrose,2022-01-24 11:49:00,2022-01-24T11:49:00.000,2010-09-15T00:00:00.000,Adoption,Cat,Spayed Female,11 years,Domestic Shorthair,Torbie,Foster
A736523,*Clementina,2016-11-03 12:35:00,2016-11-03T12:35:00.000,2015-10-12T00:00:00.000,Adoption,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Black,
A706159,Junebug,2015-07-31 14:01:00,2015-07-31T14:01:00.000,2014-06-25T00:00:00.000,Adoption,Dog,Intact Female,1 year,Border Collie/Whippet,Black/White,Foster
A810115,,2019-12-09 18:02:00,2019-12-09T18:02:00.000,2019-09-24T00:00:00.000,Adoption,Dog,Neutered Male,2 months,Labrador Retriever,Tricolor,
A811845,L.S,2020-01-22 13:53:00,2020-01-22T13:53:00.000,2005-01-10T00:00:00.000,Rto-Adopt,Cat,Spayed Female,15 years,Domestic Shorthair Mix,Black,
A830628,Buck,2021-03-14 16:15:00,2021-03-14T16:15:00.000,2018-03-12T00:00:00.000,Return to Owner,Dog,Intact Male,3 years,German Shepherd,Tan/Black,
A737112,,2016-10-23 09:00:00,2016-10-23T09:00:00.000,2015-10-22T00:00:00.000,Transfer,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Brown Tabby,SCRP
A757498,*Sergeant,2017-09-11 14:16:00,2017-09-11T14:16:00.000,2011-09-03T00:00:00.000,Adoption,Dog,Neutered Male,6 years,German Shepherd Mix,Black/Brown,
A856853,Jameson,2022-05-20 15:32:00,2022-05-20T15:32:00.000,2021-11-09T00:00:00.000,Adoption,Dog,Neutered Male,6 months,Black Mouth Cur Mix,Brown/Black,
A834933,*Salsa,2021-05-30 13:01:00,2021-05-30T13:01:00.000,2021-03-20T00:00:00.000,Euthanasia,Cat,Intact Female,2 months,Domestic Shorthair Mix,Brown Tabby,Suffering
A749348,*Toby,2017-07-12 09:48:00,2017-07-12T09:48:00.000,2017-05-04T00:00:00.000,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby/White,Foster
A796292,Duchess,2019-06-10 18:59:00,2019-06-10T18:59:00.000,2014-05-31T00:00:00.000,Return to Owner,Dog,Spayed Female,5 years,Chihuahua Shorthair,Brown,
A725980,,2016-06-25 17:31:00,2016-06-25T17:31:00.000,2016-05-01T00:00:00.000,Adoption,Dog,Spayed Female,1 month,Chihuahua Shorthair Mix,Brown,Foster
A690543,*Scarlet,2017-01-05 19:25:00,2017-01-05T19:25:00.000,2013-10-22T00:00:00.000,Return to Owner,Dog,Spayed Female,3 years,Pit Bull Mix,Chocolate/White,
A799980,Chikis,2019-07-23 17:24:00,2019-07-23T17:24:00.000,2013-05-15T00:00:00.000,Transfer,Dog,Spayed Female,6 years,Chihuahua Shorthair Mix,Black/White,Partner
A704278,Candy,2015-06-07 18:37:00,2015-06-07T18:37:00.000,2013-06-03T00:00:00.000,Adoption,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Red/White,
A665095,Paddy,2013-10-18 13:23:00,2013-10-18T13:23:00.000,2009-10-17T00:00:00.000,Transfer,Dog,Neutered Male,4 years,Dachshund Mix,Red/Buff,Partner
A612006,Dusty,2014-09-12 15:56:00,2014-09-12T15:56:00.000,2002-10-15T00:00:00.000,Return to Owner,Dog,Intact Male,11 years,Chow Chow Mix,Tan,
A774090,Stanley,2018-06-21 15:18:00,2018-06-21T15:18:00.000,2013-06-10T00:00:00.000,Adoption,Dog,Neutered Male,5 years,Doberman Pinsch Mix,Black/Tan,
A790785,Bingo,2020-05-26 13:50:00,2020-05-26T13:50:00.000,2018-03-16T00:00:00.000,Adoption,Dog,Neutered Male,2 years,German Shepherd Mix,Black/Brown,Foster
A678083,*Aspen,2014-07-12 15:57:00,2014-07-12T15:57:00.000,2014-04-03T00:00:00.000,Adoption,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Orange Tabby,
A769669,,2018-04-12 17:32:00,2018-04-12T17:32:00.000,2016-04-08T00:00:00.000,Transfer,Cat,Intact Male,2 years,Domestic Longhair Mix,Cream Tabby,Snr
A639030,Cate,2014-06-15 13:18:00,2014-06-15T13:18:00.000,2005-10-08T00:00:00.000,Return to Owner,Dog,Spayed Female,8 years,German Shepherd Mix,Tan,
A878380,A878380,2023-04-15 10:15:00,2023-04-15T10:15:00.000,2021-04-11T00:00:00.000,Euthanasia,Cat,Intact Male,2 years,Siamese Mix,Lilac Point,Suffering
A846023,,2021-11-08 18:15:00,2021-11-08T18:15:00.000,2021-10-21T00:00:00.000,Transfer,Cat,Intact Male,2 weeks,Domestic Shorthair,Blue Tabby,Partner
A812889,Tutti,2020-02-01 13:23:00,2020-02-01T13:23:00.000,2019-10-15T00:00:00.000,Adoption,Cat,Intact Female,3 months,Domestic Longhair,Black/White,
A749777,,2017-06-06 17:17:00,2017-06-06T17:17:00.000,2017-04-10T00:00:00.000,Adoption,Dog,Spayed Female,1 month,Australian Shepherd Mix,Blue Merle,Foster
A852822,*Dreamsicle,2022-03-21 13:38:00,2022-03-21T13:38:00.000,2020-03-08T00:00:00.000,Adoption,Cat,Neutered Male,2 years,Domestic Shorthair,Orange Tabby,
A737963,,2016-11-07 17:12:00,2016-11-07T17:12:00.000,2016-09-07T00:00:00.000,Transfer,Dog,Intact Female,1 month,Pit Bull Mix,White/Gray,Partner
A794634,Diamond,2019-07-11 16:09:00,2019-07-11T16:09:00.000,2019-04-10T00:00:00.000,Adoption,Cat,Spayed Female,3 months,Siamese,Lynx Point,
A703672,*Chillon,2016-04-13 00:00:00,2016-04-13T00:00:00.000,2015-04-01T00:00:00.000,Transfer,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Brown Tabby,Partner
A715807,*Franz,2016-01-15 16:59:00,2016-01-15T16:59:00.000,2015-08-10T00:00:00.000,Adoption,Cat,Neutered Male,5 months,Domestic Shorthair Mix,Black,
A827315,Atticus,2021-01-27 13:11:00,2021-01-27T13:11:00.000,2011-12-18T00:00:00.000,Adoption,Dog,Neutered Male,9 years,Labrador Retriever,Chocolate,Foster
A793307,,2019-04-24 16:24:00,2019-04-24T16:24:00.000,2019-01-23T00:00:00.000,Adoption,Cat,Spayed Female,2 months,Siamese Mix,Lynx Point/White,
A805212,Turtle,2019-10-22 17:19:00,2019-10-22T17:19:00.000,2018-11-24T00:00:00.000,Adoption,Cat,Spayed Female,10 months,Domestic Shorthair,Tortie,
A882792,A882792,2023-06-12 15:00:00,2023-06-12T15:00:00.000,2021-06-09T00:00:00.000,Transfer,Cat,Intact Female,2 years,Domestic Shorthair Mix,Black/White,Partner
A737367,*Charlie,2016-10-31 18:50:00,2016-10-31T18:50:00.000,2015-10-26T00:00:00.000,Adoption,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,Tricolor,
A749609,*Emmy Lou,2017-07-21 10:12:00,2017-07-21T10:12:00.000,2017-05-16T00:00:00.000,Adoption,Dog,Spayed Female,2 months,Labrador Retriever Mix,Black/Brown,Foster
A686100,,2014-08-20 17:17:00,2014-08-20T17:17:00.000,2014-06-16T00:00:00.000,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Calico,
A754990,,2017-07-30 18:14:00,2017-07-30T18:14:00.000,2017-05-27T00:00:00.000,Adoption,Dog,Neutered Male,2 months,German Shepherd/Labrador Retriever,Tan/Black,
A801848,*Kit,2019-09-26 19:07:00,2019-09-26T19:07:00.000,2019-07-10T00:00:00.000,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair,Orange Tabby,
A650142,Koda,2014-01-22 17:00:00,2014-01-22T17:00:00.000,2011-03-24T00:00:00.000,Return to Owner,Dog,Neutered Male,2 years,Chow Chow Mix,Brown/White,
A832511,*Theodosia,2021-05-25 12:13:00,2021-05-25T12:13:00.000,2019-04-14T00:00:00.000,Adoption,Cat,Spayed Female,2 years,Siamese Mix,Chocolate Point,
A754540,*Lily,2017-12-20 07:31:00,2017-12-20T07:31:00.000,2010-09-18T00:00:00.000,Adoption,Dog,Spayed Female,7 years,Labrador Retriever Mix,Yellow,Foster
A818385,,2020-06-08 15:29:00,2020-06-08T15:29:00.000,2020-03-17T00:00:00.000,Return to Owner,Cat,Intact Male,2 months,Domestic Shorthair,Blue Smoke,
A851472,A851472,2022-02-17 12:46:00,2022-02-17T12:46:00.000,2020-09-13T00:00:00.000,Transfer,Dog,Intact Male,1 year,Cairn Terrier Mix,Tan/White,Partner
A800657,,2019-08-03 08:36:00,2019-08-03T08:36:00.000,2019-07-22T00:00:00.000,Transfer,Dog,Unknown,1 weeks,Labrador Retriever,Tricolor,Partner
A735484,Homie,2016-11-19 16:18:00,2016-11-19T16:18:00.000,2015-09-24T00:00:00.000,Adoption,Dog,Neutered Male,1 year,Labrador Retriever/Australian Kelpie,Chocolate/White,
A732882,,2016-08-14 13:43:00,2016-08-14T13:43:00.000,2014-08-14T00:00:00.000,Euthanasia,Cat,Intact Female,2 years,Domestic Shorthair Mix,Brown Tabby,Suffering
A763291,Bluebell,2017-12-13 16:40:00,2017-12-13T16:40:00.000,2016-12-06T00:00:00.000,Adoption,Dog,Spayed Female,1 year,American Staffordshire Terrier Mix,Brown Brindle/White,
A793667,Lucas,2019-05-03 11:34:00,2019-05-03T11:34:00.000,2017-04-28T00:00:00.000,Return to Owner,Dog,Neutered Male,2 years,Miniature Poodle Mix,White,
A813293,,2020-02-13 17:24:00,2020-02-13T17:24:00.000,2014-02-13T00:00:00.000,Adoption,Dog,Spayed Female,6 years,Beagle,White/Brown,
A754241,,2017-07-17 18:10:00,2017-07-17T18:10:00.000,2015-07-17T00:00:00.000,Euthanasia,Other,Unknown,2 years,Raccoon Mix,Gray/Black,Rabies Risk
A747283,Charlie,2017-04-22 17:45:00,2017-04-22T17:45:00.000,2015-04-17T00:00:00.000,Adoption,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Tan/White,
A709676,*Wendall,2015-08-19 15:45:00,2015-08-19T15:45:00.000,2014-08-12T00:00:00.000,Adoption,Dog,Neutered Male,1 year,Miniature Pinscher Mix,Chocolate/Tan,
A888811,204 Grams,2023-09-16 13:00:00,2023-09-16T13:00:00.000,2023-08-16T00:00:00.000,Transfer,Cat,Intact Female,4 weeks,Domestic Shorthair,Brown Tabby,Partner
A695365,Monster,2015-01-17 17:31:00,2015-01-17T17:31:00.000,2014-01-14T00:00:00.000,Return to Owner,Dog,Neutered Male,1 year,Chihuahua Shorthair,Tan/Black,
A692259,*Simon,2014-12-06 17:02:00,2014-12-06T17:02:00.000,2002-11-17T00:00:00.000,Adoption,Dog,Neutered Male,12 years,Miniature Schnauzer Mix,Black/Brown Brindle,
A678468,,2014-05-16 11:58:00,2014-05-16T11:58:00.000,2012-05-09T00:00:00.000,Transfer,Dog,Neutered Male,2 years,Chihuahua Shorthair/Rat Terrier,Tricolor,Partner
A685507,,2014-08-08 18:20:00,2014-08-08T18:20:00.000,2014-07-17T00:00:00.000,Transfer,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby/White,Partner
A741704,Samson,2017-01-07 12:04:00,2017-01-07T12:04:00.000,2015-01-06T00:00:00.000,Return to Owner,Dog,Intact Male,2 years,Golden Retriever Mix,Yellow,
A844646,Negro,2021-10-19 12:18:00,2021-10-19T12:18:00.000,2018-10-19T00:00:00.000,Return to Owner,Dog,Intact Male,3 years,Great Dane,Black/White,
A665319,Oberon,2013-10-22 17:09:00,2013-10-22T17:09:00.000,2012-10-16T00:00:00.000,Adoption,Dog,Neutered Male,1 year,Anatol Shepherd Mix,Tan/White,
A686271,,2014-08-23 18:45:00,2014-08-23T18:45:00.000,2013-08-19T00:00:00.000,Adoption,Dog,Spayed Female,1 year,Chihuahua Shorthair/Pug,Brown,
A678167,Leah,2014-05-12 14:38:00,2014-05-12T14:38:00.000,2013-05-05T00:00:00.000,Transfer,Dog,Spayed Female,1 year,German Shepherd Mix,Black/Tan,Partner
A785672,Simba,2019-02-09 18:20:00,2019-02-09T18:20:00.000,2018-02-07T00:00:00.000,Adoption,Dog,Neutered Male,1 year,Boxer Mix,Brown/White,
A885709,Bronx,2023-09-16 13:57:00,2023-09-16T13:57:00.000,2015-06-27T00:00:00.000,Euthanasia,Dog,Intact Male,8 years,American Pit Bull Terrier,White/Brown,Court/Investigation
A668128,Bonnie,2013-12-21 18:42:00,2013-12-21T18:42:00.000,2011-11-27T00:00:00.000,Adoption,Dog,Spayed Female,2 years,Pit Bull Mix,Blue/White,
A725680,Casper,2016-05-11 15:50:00,2016-05-11T15:50:00.000,2015-08-03T00:00:00.000,Return to Owner,Dog,Neutered Male,9 months,Pit Bull Mix,White/Tan,
A725680,Casper,2016-09-01 22:13:00,2016-09-01T22:13:00.000,2015-08-03T00:00:00.000,Return to Owner,Dog,Neutered Male,1 year,Pit Bull Mix,White/Tan,
A668325,Beau,2013-12-06 13:55:00,2013-12-06T13:55:00.000,2013-08-02T00:00:00.000,Transfer,Dog,Intact Male,4 months,Greyhound,Tan/White,Partner
A813099,,2020-02-08 10:58:00,2020-02-08T10:58:00.000,2019-02-04T00:00:00.000,Transfer,Cat,Intact Female,1 year,Domestic Medium Hair,Lynx Point,Snr
A840119,*Josie,2021-08-16 17:38:00,2021-08-16T17:38:00.000,2019-08-02T00:00:00.000,Adoption,Dog,Spayed Female,2 years,German Shepherd Mix,Black/Brown,
A692842,Caramel,2014-12-04 12:33:00,2014-12-04T12:33:00.000,2014-04-26T00:00:00.000,Transfer,Cat,Spayed Female,7 months,Domestic Shorthair Mix,Orange Tabby,Partner
A817291,*Sunny,2020-08-08 08:43:00,2020-08-08T08:43:00.000,2020-04-19T00:00:00.000,Adoption,Cat,Spayed Female,3 months,Domestic Shorthair,Brown Tabby,Foster
A676453,,2014-04-11 12:55:00,2014-04-11T12:55:00.000,2013-09-10T00:00:00.000,Transfer,Cat,Unknown,7 months,Domestic Shorthair Mix,Black/White,SCRP
A778049,*Davey,2018-08-18 14:46:00,2018-08-18T14:46:00.000,2018-02-07T00:00:00.000,Adoption,Cat,Neutered Male,6 months,Domestic Shorthair Mix,Brown Tabby,
A777801,Nino,2018-08-07 00:00:00,2018-08-07T00:00:00.000,2013-08-03T00:00:00.000,Transfer,Dog,Intact Male,5 years,Chihuahua Longhair Mix,Brown,Partner
A840449,,2021-08-08 15:30:00,2021-08-08T15:30:00.000,2021-07-25T00:00:00.000,Transfer,Cat,Intact Male,2 weeks,Domestic Shorthair,Brown Tabby,Partner
A700785,,2015-04-19 19:06:00,2015-04-19T19:06:00.000,2015-03-28T00:00:00.000,Transfer,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby,Partner
A808826,Coco,2019-11-18 18:34:00,2019-11-18T18:34:00.000,2019-08-14T00:00:00.000,Adoption,Dog,Neutered Male,3 months,Collie Smooth Mix,Tricolor,
A731795,Negro,2016-08-06 21:42:00,2016-08-06T21:42:00.000,2015-11-15T00:00:00.000,Return to Owner,Dog,Intact Male,8 months,Doberman Pinsch,Black/Tan,
A705519,Sheos,2015-06-20 14:39:00,2015-06-20T14:39:00.000,2014-06-18T00:00:00.000,Return to Owner,Dog,Neutered Male,1 year,German Shepherd/Chow Chow,Brown/Tan,
A823793,,2020-10-23 12:48:00,2020-10-23T12:48:00.000,2020-08-04T00:00:00.000,Transfer,Cat,Spayed Female,2 months,Domestic Shorthair,Orange Tabby,Partner
A645112,Sherlock,2016-10-27 15:24:00,2016-10-27T15:24:00.000,2003-01-03T00:00:00.000,Transfer,Cat,Neutered Male,13 years,Domestic Shorthair Mix,Silver Tabby,Partner
A843687,A843687,2021-10-12 17:49:00,2021-10-12T17:49:00.000,2021-07-05T00:00:00.000,Adoption,Cat,Neutered Male,3 months,Domestic Shorthair,Gray Tabby,
A715038,*Melvin,2015-11-09 12:38:00,2015-11-09T12:38:00.000,2008-10-31T00:00:00.000,Transfer,Dog,Intact Male,7 years,Rat Terrier Mix,White/Black,Partner
A805358,Ashanti,2019-09-27 17:44:00,2019-09-27T17:44:00.000,2019-07-10T00:00:00.000,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair,Calico,
A489503,Dezi,2014-09-21 16:26:00,2014-09-21T16:26:00.000,2007-05-15T00:00:00.000,Euthanasia,Cat,Spayed Female,7 years,Domestic Shorthair Mix,White/Brown Tabby,Suffering
A782959,,2018-10-24 15:26:00,2018-10-24T15:26:00.000,2006-10-23T00:00:00.000,Transfer,Dog,Intact Female,12 years,Chihuahua Shorthair Mix,White/Tan,Partner
A819251,,2020-08-04 14:42:00,2020-08-04T14:42:00.000,2020-04-28T00:00:00.000,Adoption,Cat,Spayed Female,3 months,Domestic Longhair Mix,Torbie,Foster
A732077,,2016-08-01 22:25:00,2016-08-01T22:25:00.000,2016-07-15T00:00:00.000,Transfer,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Orange Tabby,Partner
A715052,Freddie,2015-11-14 14:40:00,2015-11-14T14:40:00.000,2013-10-30T00:00:00.000,Return to Owner,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Tan/White,
A791765,,2019-06-22 08:38:00,2019-06-22T08:38:00.000,2019-03-30T00:00:00.000,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby,Foster
A740494,,2016-12-18 12:34:00,2016-12-18T12:34:00.000,2016-12-12T00:00:00.000,Transfer,Dog,Intact Male,6 days,Labrador Retriever/Pit Bull,Brown Brindle,Partner
A794072,,2019-05-03 17:18:00,2019-05-03T17:18:00.000,2019-05-02T00:00:00.000,Transfer,Cat,Unknown,1 day,Domestic Shorthair Mix,Black,Partner
A818535,,2020-06-11 00:00:00,2020-06-11T00:00:00.000,2008-06-10T00:00:00.000,Transfer,Cat,Intact Male,12 years,Domestic Shorthair,Black/White,Partner
A671944,,2014-02-01 16:12:00,2014-02-01T16:12:00.000,2013-09-01T00:00:00.000,Euthanasia,Cat,Intact Female,5 months,Domestic Shorthair Mix,Brown Tabby,Suffering
A790748,Buzz,2020-05-08 10:43:00,2020-05-08T10:43:00.000,2018-03-15T00:00:00.000,Adoption,Dog,Neutered Male,2 years,Labrador Retriever Mix,Black,Foster
A824403,,2020-10-15 16:37:00,2020-10-15T16:37:00.000,2019-10-13T00:00:00.000,Transfer,Cat,Spayed Female,1 year,Domestic Shorthair,Orange Tabby,Snr
A769788,,2018-04-15 18:21:00,2018-04-15T18:21:00.000,2016-09-10T00:00:00.000,Adoption,Dog,Neutered Male,1 year,Norfolk Terrier Mix,Black/Brown,
A709539,Athena,2015-09-08 17:54:00,2015-09-08T17:54:00.000,2011-08-10T00:00:00.000,Adoption,Dog,Spayed Female,4 years,Rottweiler,Tricolor,
A799938,,2019-08-13 12:57:00,2019-08-13T12:57:00.000,2019-06-14T00:00:00.000,Transfer,Cat,Intact Male,1 month,Domestic Shorthair,Blue/White,Partner
A844188,*Dakota,2021-11-01 13:10:00,2021-11-01T13:10:00.000,2018-10-13T00:00:00.000,Transfer,Dog,Intact Female,3 years,German Shepherd Mix,Tan/Black,Out State
A668592,,2013-12-09 12:48:00,2013-12-09T12:48:00.000,2011-12-05T00:00:00.000,Transfer,Dog,Intact Female,2 years,Chihuahua Shorthair Mix,Brown/White,Partner
A779590,,2018-09-08 16:46:00,2018-09-08T16:46:00.000,2018-02-03T00:00:00.000,Adoption,Dog,Neutered Male,7 months,Cardigan Welsh Corgi/Chihuahua Shorthair,White/Red,
A747629,,2017-04-26 18:22:00,2017-04-26T18:22:00.000,2016-04-22T00:00:00.000,Adoption,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,Cream,
A750906,Keena,2017-06-08 17:19:00,2017-06-08T17:19:00.000,2009-06-06T00:00:00.000,Return to Owner,Dog,Spayed Female,8 years,Pit Bull Mix,Brown,
A665156,Baby Elic,2013-10-19 17:07:00,2013-10-19T17:07:00.000,2012-12-14T00:00:00.000,Adoption,Dog,Spayed Female,10 months,Border Collie Mix,White/Black,
A721715,Shadow,2016-03-13 19:11:00,2016-03-13T19:11:00.000,2015-03-02T00:00:00.000,Adoption,Dog,Neutered Male,1 year,German Shepherd Mix,Sable,
A677835,*Suzette,2014-07-12 11:41:00,2014-07-12T11:41:00.000,2013-04-29T00:00:00.000,Adoption,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Torbie,Foster
A732207,,2016-08-05 09:00:00,2016-08-05T09:00:00.000,2016-05-04T00:00:00.000,Transfer,Cat,Intact Male,3 months,Domestic Shorthair Mix,Brown Tabby,SCRP
A800416,*Pup,2019-08-06 13:41:00,2019-08-06T13:41:00.000,2019-01-20T00:00:00.000,Adoption,Dog,Neutered Male,6 months,Labrador Retriever/Pit Bull,Red/White,
A749460,*Sweetheart,2017-07-17 16:35:00,2017-07-17T16:35:00.000,2015-11-15T00:00:00.000,Adoption,Cat,Spayed Female,1 year,Domestic Medium Hair Mix,Blue/White,
A694967,Jewels,2019-08-09 12:12:00,2019-08-09T12:12:00.000,2011-01-07T00:00:00.000,Return to Owner,Dog,Spayed Female,8 years,Siberian Husky Mix,Sable/Cream,
A768874,,2018-04-03 14:30:00,2018-04-03T14:30:00.000,2015-03-26T00:00:00.000,Transfer,Dog,Spayed Female,3 years,Border Collie/Australian Cattle Dog,Brown/White,Partner
A817618,Pepper,2020-06-24 10:19:00,2020-06-24T10:19:00.000,2020-04-13T00:00:00.000,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair,Blue/White,Foster
A782816,Prudence,2018-10-21 18:33:00,2018-10-21T18:33:00.000,2014-03-21T00:00:00.000,Transfer,Dog,Intact Female,4 years,Boxer Mix,Brown/White,Partner
A680131,Beaux,2014-05-30 14:32:00,2014-05-30T14:32:00.000,2010-05-30T00:00:00.000,Return to Owner,Dog,Neutered Male,4 years,Labrador Retriever Mix,Black,
A765867,,2018-01-29 09:45:00,2018-01-29T09:45:00.000,2016-01-28T00:00:00.000,Euthanasia,Other,Unknown,2 years,Bat Mix,Black,Rabies Risk
A756321,*Cardamom,2017-08-25 16:54:00,2017-08-25T16:54:00.000,2014-08-17T00:00:00.000,Adoption,Dog,Spayed Female,3 years,Labrador Retriever Mix,Brown,
A738283,Arwen,2016-11-20 19:12:00,2016-11-20T19:12:00.000,2015-11-12T00:00:00.000,Return to Owner,Dog,Spayed Female,1 year,Pit Bull Mix,Black Brindle/White,
A748827,,2017-05-08 09:29:00,2017-05-08T09:29:00.000,2017-05-01T00:00:00.000,Transfer,Cat,Unknown,1 week,Domestic Shorthair Mix,Brown Tabby/White,Partner
A691180,*Samson,2014-11-09 14:36:00,2014-11-09T14:36:00.000,2010-10-31T00:00:00.000,Transfer,Dog,Intact Male,4 years,Pit Bull Mix,Black/White,Partner
A702260,Bella,2015-05-12 17:51:00,2015-05-12T17:51:00.000,2011-05-11T00:00:00.000,Transfer,Other,Intact Female,4 years,Guinea Pig Mix,Brown/Orange,Partner
A707152,,2015-07-09 13:26:00,2015-07-09T13:26:00.000,2014-07-08T00:00:00.000,Transfer,Other,Unknown,1 year,Rabbit Sh Mix,Black,Partner
A685214,Truffles,2014-08-26 17:22:00,2014-08-26T17:22:00.000,2014-06-27T00:00:00.000,Adoption,Cat,Spayed Female,1 month,Domestic Medium Hair Mix,Calico,
